age,education,marital-status,race,sex
working adult,Bachelors,Never-married,White,Male
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,HS-grad,Divorced,White,Male
working adult,11th,Married-civ-spouse,Black,Male
working adult,Bachelors,Married-civ-spouse,Black,Female
working adult,Masters,Married-civ-spouse,White,Female
working adult,9th,Married-spouse-absent,Black,Female
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Masters,Never-married,White,Female
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,Some-college,Married-civ-spouse,Black,Male
working adult,Bachelors,Married-civ-spouse,Asian-Pac-Islander,Male
young adult,Bachelors,Never-married,White,Female
working adult,Assoc-acdm,Never-married,Black,Male
working adult,7th-8th,Married-civ-spouse,Amer-Indian-Eskimo,Male
working adult,HS-grad,Never-married,White,Male
working adult,HS-grad,Never-married,White,Male
working adult,11th,Married-civ-spouse,White,Male
working adult,Masters,Divorced,White,Female
working adult,Doctorate,Married-civ-spouse,White,Male
working adult,HS-grad,Separated,Black,Female
working adult,9th,Married-civ-spouse,Black,Male
working adult,11th,Married-civ-spouse,White,Male
working adult,HS-grad,Divorced,White,Female
working adult,Bachelors,Married-civ-spouse,White,Male
young adult,HS-grad,Never-married,White,Male
working adult,HS-grad,Divorced,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
young adult,Assoc-acdm,Never-married,White,Male
young adult,Some-college,Never-married,Black,Male
working adult,Bachelors,Divorced,White,Male
working adult,Some-college,Married-civ-spouse,White,Male
young adult,Some-college,Married-civ-spouse,Black,Male
working adult,11th,Never-married,White,Male
young adult,Some-college,Never-married,White,Male
young adult,HS-grad,Married-AF-spouse,White,Female
working adult,Assoc-acdm,Married-civ-spouse,White,Male
working adult,9th,Married-civ-spouse,White,Male
working adult,Bachelors,Married-civ-spouse,White,Male
young adult,Bachelors,Married-civ-spouse,White,Male
working adult,HS-grad,Separated,White,Female
working adult,HS-grad,Never-married,White,Male
working adult,Bachelors,Married-civ-spouse,Black,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Masters,Divorced,White,Female
working adult,Assoc-voc,Married-civ-spouse,White,Male
working adult,Assoc-voc,Never-married,White,Male
working adult,Some-college,Married-civ-spouse,Other,Female
working adult,Prof-school,Married-civ-spouse,White,Female
working adult,Bachelors,Divorced,White,Male
working adult,HS-grad,Divorced,White,Male
working adult,Some-college,Married-civ-spouse,White,Male
working adult,5th-6th,Married-civ-spouse,White,Male
working adult,Assoc-voc,Married-civ-spouse,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Doctorate,Married-civ-spouse,White,Male
working adult,Some-college,Divorced,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Some-college,Divorced,White,Female
working adult,HS-grad,Married-civ-spouse,White,Female
working adult,Some-college,Married-civ-spouse,White,Male
young adult,Some-college,Never-married,White,Male
working adult,Bachelors,Separated,Black,Female
working adult,Bachelors,Married-civ-spouse,White,Male
young adult,Some-college,Never-married,White,Male
retirement,Some-college,Married-civ-spouse,White,Male
working adult,HS-grad,Never-married,White,Male
working adult,Assoc-acdm,Married-civ-spouse,White,Male
young adult,11th,Never-married,White,Female
working adult,7th-8th,Married-civ-spouse,White,Male
young adult,HS-grad,Never-married,White,Male
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,HS-grad,Married-civ-spouse,White,Female
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,HS-grad,Divorced,White,Female
working adult,HS-grad,Divorced,White,Female
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,Masters,Married-civ-spouse,White,Male
working adult,9th,Never-married,White,Male
working adult,Doctorate,Never-married,White,Female
working adult,Assoc-voc,Married-civ-spouse,White,Male
working adult,Some-college,Divorced,White,Female
working adult,Some-college,Divorced,Black,Female
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,Some-college,Never-married,White,Male
working adult,Doctorate,Married-civ-spouse,White,Male
working adult,Some-college,Married-civ-spouse,White,Male
working adult,Assoc-acdm,Divorced,White,Female
working adult,HS-grad,Never-married,Black,Male
retirement,Masters,Married-civ-spouse,White,Male
working adult,Bachelors,Married-civ-spouse,White,Male
working adult,Masters,Never-married,White,Female
young adult,Some-college,Never-married,White,Female
working adult,HS-grad,Never-married,White,Male
working adult,HS-grad,Married-civ-spouse,White,Male
working adult,11th,Never-married,White,Male
working adult,HS-grad,Never-married,White,Female
working adult,HS-grad,Married-civ-spouse,White,Male
young adult,Bachelors,Never-married,White,Male
working adult,Prof-school,Married-civ-spouse,White,Male
