relationship,race,sex,hours-per-week,income
Not-in-family,White,Male,full-time,<=50K
Husband,White,Male,part-time,<=50K
Not-in-family,White,Male,full-time,<=50K
Husband,Black,Male,full-time,<=50K
Wife,Black,Female,full-time,<=50K
Wife,White,Female,full-time,<=50K
Not-in-family,Black,Female,part-time,<=50K
Husband,White,Male,overtime,>50K
Not-in-family,White,Female,overtime,>50K
Husband,White,Male,full-time,>50K
Husband,Black,Male,overtime,>50K
Husband,Asian-Pac-Islander,Male,full-time,>50K
Own-child,White,Female,part-time,<=50K
Not-in-family,Black,Male,overtime,<=50K
Husband,Amer-Indian-Eskimo,Male,overtime,<=50K
Own-child,White,Male,full-time,<=50K
Unmarried,White,Male,full-time,<=50K
Husband,White,Male,overtime,<=50K
Unmarried,White,Female,overtime,>50K
Husband,White,Male,overtime,>50K
Unmarried,Black,Female,part-time,<=50K
Husband,Black,Male,full-time,<=50K
Husband,White,Male,full-time,<=50K
Unmarried,White,Female,full-time,<=50K
Husband,White,Male,full-time,>50K
Own-child,White,Male,full-time,<=50K
Not-in-family,White,Male,overtime,<=50K
Husband,White,Male,full-time,<=50K
Not-in-family,White,Male,overtime,<=50K
Own-child,Black,Male,overtime,<=50K
Own-child,White,Male,full-time,<=50K
Own-child,White,Male,full-time,<=50K
Husband,Black,Male,part-time,<=50K
Unmarried,White,Male,full-time,<=50K
Own-child,White,Male,full-time,<=50K
Wife,White,Female,part-time,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,overtime,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,overtime,<=50K
Unmarried,White,Female,full-time,<=50K
Not-in-family,White,Male,full-time,<=50K
Husband,Black,Male,full-time,>50K
Husband,White,Male,full-time,<=50K
Unmarried,White,Female,full-time,<=50K
Husband,White,Male,full-time,<=50K
Not-in-family,White,Male,overtime,<=50K
Wife,Other,Female,full-time,<=50K
Wife,White,Female,overtime,>50K
Not-in-family,White,Male,overtime,>50K
Not-in-family,White,Male,overtime,<=50K
Husband,White,Male,full-time,>50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,overtime,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,full-time,<=50K
Husband,White,Male,overtime,>50K
Not-in-family,White,Male,overtime,<=50K
Husband,White,Male,full-time,<=50K
Not-in-family,White,Female,full-time,<=50K
Wife,White,Female,full-time,>50K
Husband,White,Male,overtime,>50K
Own-child,White,Male,part-time,<=50K
Own-child,Black,Female,full-time,<=50K
Husband,White,Male,overtime,>50K
Not-in-family,White,Male,full-time,<=50K
Other-relative,White,Male,part-time,<=50K
Own-child,White,Male,full-time,<=50K
Husband,White,Male,full-time,<=50K
Own-child,White,Female,part-time,<=50K
Husband,White,Male,full-time,<=50K
Not-in-family,White,Male,part-time,<=50K
Husband,White,Male,full-time,<=50K
Wife,White,Female,full-time,<=50K
Husband,White,Male,overtime,<=50K
Not-in-family,White,Female,full-time,>50K
Own-child,White,Female,full-time,<=50K
Husband,White,Male,full-time,>50K
Husband,White,Male,overtime,<=50K
Not-in-family,White,Male,full-time,<=50K
Not-in-family,White,Female,overtime,>50K
Husband,White,Male,full-time,<=50K
Unmarried,White,Female,full-time,<=50K
Unmarried,Black,Female,part-time,<=50K
Husband,White,Male,full-time,>50K
Not-in-family,White,Male,overtime,<=50K
Husband,White,Male,overtime,>50K
Husband,White,Male,overtime,>50K
Unmarried,White,Female,full-time,<=50K
Own-child,Black,Male,full-time,<=50K
Husband,White,Male,full-time,>50K
