marital-status,race,sex,hours-per-week,income
Never-married,White,Male,full-time,<=50K
Married-civ-spouse,White,Male,part-time,<=50K
Divorced,White,Male,full-time,<=50K
Married-civ-spouse,Black,Male,full-time,<=50K
Married-civ-spouse,Black,Female,full-time,<=50K
Married-civ-spouse,White,Female,full-time,<=50K
Married-spouse-absent,Black,Female,part-time,<=50K
Married-civ-spouse,White,Male,overtime,>50K
Never-married,White,Female,overtime,>50K
Married-civ-spouse,White,Male,full-time,>50K
Married-civ-spouse,Black,Male,overtime,>50K
Married-civ-spouse,Asian-Pac-Islander,Male,full-time,>50K
Never-married,White,Female,part-time,<=50K
Never-married,Black,Male,overtime,<=50K
Married-civ-spouse,Amer-Indian-Eskimo,Male,overtime,<=50K
Never-married,White,Male,full-time,<=50K
Never-married,White,Male,full-time,<=50K
Married-civ-spouse,White,Male,overtime,<=50K
Divorced,White,Female,overtime,>50K
Married-civ-spouse,White,Male,overtime,>50K
Separated,Black,Female,part-time,<=50K
Married-civ-spouse,Black,Male,full-time,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Divorced,White,Female,full-time,<=50K
Married-civ-spouse,White,Male,full-time,>50K
Never-married,White,Male,full-time,<=50K
Divorced,White,Male,overtime,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Never-married,White,Male,overtime,<=50K
Never-married,Black,Male,overtime,<=50K
Divorced,White,Male,full-time,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Married-civ-spouse,Black,Male,part-time,<=50K
Never-married,White,Male,full-time,<=50K
Never-married,White,Male,full-time,<=50K
Married-AF-spouse,White,Female,part-time,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Married-civ-spouse,White,Male,overtime,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Married-civ-spouse,White,Male,overtime,<=50K
Separated,White,Female,full-time,<=50K
Never-married,White,Male,full-time,<=50K
Married-civ-spouse,Black,Male,full-time,>50K
Married-civ-spouse,White,Male,full-time,<=50K
Divorced,White,Female,full-time,<=50K
Married-civ-spouse,White,Male,full-time,<=50K
Never-married,White,Male,overtime,<=50K
Married-civ-spouse,Other,Female,full-time,<=50K
Married-civ-spouse,White,Female,overtime,>50K
Divorced,White,Male,overtime,>50K
Divorced,White,Male,overtime,<=50K
