age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
working adult,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,full-time,Cuba,<=50K
working adult,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,full-time,United-States,<=50K
working adult,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,part-time,Jamaica,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,>50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,overtime,United-States,>50K
working adult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,full-time,India,>50K
young adult,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
working adult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,overtime,United-States,<=50K
working adult,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,overtime,Mexico,<=50K
working adult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,overtime,United-States,>50K
working adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,part-time,United-States,<=50K
working adult,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
young adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
young adult,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,overtime,United-States,<=50K
young adult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
young adult,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,part-time,United-States,<=50K
working adult,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,full-time,Puerto-Rico,<=50K
young adult,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,full-time,United-States,<=50K
young adult,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,<=50K
working adult,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,full-time,United-States,<=50K
working adult,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,full-time,United-States,<=50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,overtime,Honduras,>50K
working adult,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,overtime,United-States,>50K
working adult,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,>50K
working adult,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,Mexico,<=50K
working adult,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,full-time,Puerto-Rico,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
