age,relationship,race,sex,income
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,Black,Male,<=50K
working adult,Wife,Black,Female,<=50K
working adult,Wife,White,Female,<=50K
working adult,Not-in-family,Black,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Female,>50K
working adult,Husband,White,Male,>50K
working adult,Husband,Black,Male,>50K
working adult,Husband,Asian-Pac-Islander,Male,>50K
young adult,Own-child,White,Female,<=50K
working adult,Not-in-family,Black,Male,<=50K
working adult,Husband,Amer-Indian-Eskimo,Male,<=50K
working adult,Own-child,White,Male,<=50K
working adult,Unmarried,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,>50K
working adult,Husband,White,Male,>50K
working adult,Unmarried,Black,Female,<=50K
working adult,Husband,Black,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Husband,White,Male,>50K
young adult,Own-child,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
young adult,Not-in-family,White,Male,<=50K
young adult,Own-child,Black,Male,<=50K
working adult,Own-child,White,Male,<=50K
working adult,Own-child,White,Male,<=50K
young adult,Husband,Black,Male,<=50K
working adult,Unmarried,White,Male,<=50K
young adult,Own-child,White,Male,<=50K
young adult,Wife,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
young adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,Black,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Wife,Other,Female,<=50K
working adult,Wife,White,Female,>50K
working adult,Not-in-family,White,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Wife,White,Female,>50K
working adult,Husband,White,Male,>50K
young adult,Own-child,White,Male,<=50K
working adult,Own-child,Black,Female,<=50K
working adult,Husband,White,Male,>50K
young adult,Not-in-family,White,Male,<=50K
retirement,Other-relative,White,Male,<=50K
working adult,Own-child,White,Male,<=50K
working adult,Husband,White,Male,<=50K
young adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,<=50K
young adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Wife,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Female,>50K
working adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Not-in-family,White,Female,>50K
working adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Unmarried,Black,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,>50K
working adult,Unmarried,White,Female,<=50K
working adult,Own-child,Black,Male,<=50K
retirement,Husband,White,Male,>50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Female,<=50K
young adult,Own-child,White,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Own-child,White,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,<=50K
young adult,Other-relative,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,>50K
working adult,Wife,White,Female,<=50K
working adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,Black,Male,>50K
working adult,Husband,White,Male,<=50K
young adult,Not-in-family,White,Male,<=50K
young adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Own-child,Black,Male,<=50K
working adult,Husband,White,Male,>50K
young adult,Own-child,Black,Male,<=50K
working adult,Wife,White,Female,>50K
young adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
young adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,Black,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Wife,White,Female,<=50K
young adult,Own-child,White,Male,<=50K
working adult,Husband,Asian-Pac-Islander,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Own-child,White,Female,<=50K
young adult,Own-child,White,Male,<=50K
working adult,Not-in-family,White,Female,>50K
retirement,Other-relative,White,Male,<=50K
working adult,Unmarried,Black,Female,<=50K
young adult,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
retirement,Husband,White,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Other-relative,Asian-Pac-Islander,Female,<=50K
young adult,Own-child,White,Male,<=50K
working adult,Husband,White,Male,<=50K
young adult,Not-in-family,White,Male,<=50K
retirement,Unmarried,Black,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Other-relative,Black,Male,<=50K
working adult,Unmarried,White,Female,<=50K
working adult,Unmarried,Asian-Pac-Islander,Female,<=50K
working adult,Not-in-family,Asian-Pac-Islander,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Unmarried,White,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Unmarried,White,Male,<=50K
young adult,Own-child,White,Male,<=50K
retirement,Not-in-family,White,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Unmarried,White,Female,<=50K
young adult,Own-child,Black,Male,<=50K
working adult,Not-in-family,Black,Male,<=50K
young adult,Own-child,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,Black,Male,>50K
working adult,Not-in-family,White,Female,<=50K
working adult,Not-in-family,Black,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,>50K
working adult,Husband,Black,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Wife,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,Black,Female,<=50K
young adult,Husband,White,Male,<=50K
working adult,Husband,Black,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
young adult,Other-relative,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Not-in-family,White,Female,>50K
working adult,Other-relative,White,Male,>50K
young adult,Not-in-family,White,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Female,<=50K
working adult,Unmarried,White,Female,<=50K
young adult,Own-child,White,Female,<=50K
working adult,Husband,Black,Male,>50K
working adult,Not-in-family,White,Male,<=50K
working adult,Wife,White,Female,>50K
childhood,Own-child,White,Female,<=50K
working adult,Husband,Black,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
working adult,Husband,Asian-Pac-Islander,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,Black,Male,>50K
working adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,<=50K
retirement,Not-in-family,Black,Male,<=50K
working adult,Husband,Black,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
young adult,Own-child,White,Female,<=50K
retirement,Husband,White,Male,<=50K
retirement,Not-in-family,White,Female,<=50K
retirement,Not-in-family,White,Female,<=50K
working adult,Not-in-family,Black,Male,<=50K
working adult,Unmarried,Black,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Other-relative,Other,Female,<=50K
working adult,Not-in-family,White,Male,>50K
working adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Husband,White,Male,>50K
young adult,Own-child,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Wife,White,Female,<=50K
young adult,Husband,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,White,Male,>50K
working adult,Not-in-family,White,Female,<=50K
working adult,Husband,White,Male,>50K
working adult,Wife,White,Female,>50K
working adult,Wife,Black,Female,<=50K
working adult,Unmarried,Black,Female,<=50K
young adult,Own-child,White,Male,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Husband,Asian-Pac-Islander,Male,>50K
young adult,Own-child,White,Female,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Not-in-family,White,Female,<=50K
working adult,Not-in-family,White,Male,<=50K
working adult,Own-child,White,Female,<=50K
working adult,Husband,White,Male,<=50K
childhood,Own-child,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,White,Male,<=50K
working adult,Husband,Asian-Pac-Islander,Male,>50K
retirement,Husband,White,Male,>50K
working adult,Not-in-family,White,Female,<=50K
working adult,Wife,White,Female,>50K
working adult,Husband,White,Male,>50K
childhood,Own-child,White,Male,<=50K
working adult,Husband,White,Male,<=50K
